word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,char_freq_$,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
0.5777,2.1478,1.4213,0.2881,0.0004,1.7525,1.0,4.51,6,47,1
1.47,0.6843,1.0421,0.1578,2.1347,0.7917,1.0,5.2,54,114,0
2.1758,2.6852,1.1868,0.0592,1.2493,0.1819,0.0131,3.4,62,127,0
0.7037,1.9544,1.0324,1.2711,1.8346,1.2934,1.0,7.65,73,48,0
2.0637,1.2428,1.0968,0.8215,0.2521,0.3335,1.0,6.63,44,12,0
0.502,0.7943,0.7946,0.0222,1.432,1.6072,1.0,14.71,8,11,1
1.5603,0.2842,1.584,0.614,3.4388,1.3885,1.0,25.7,28,153,1
0.1952,2.9009,0.2377,1.9378,0.136,2.426,0.8935,21.4,43,123,1
2.1766,6.8854,0.6178,0.3664,7.3548,3.0073,1.0,91.21,72,126,0
0.2009,0.4779,3.2611,1.1125,0.4622,0.4817,1.0,10.04,54,40,0
2.2788,2.2125,1.4372,1.721,0.1878,1.053,1.0,11.49,38,159,1
4.9236,5.3659,1.5078,4.3682,4.9024,1.7159,1.0,15.96,5,29,1
1.281,1.4694,2.2358,0.7996,1.1976,0.2784,1.0,1.38,24,52,0
2.8041,0.9938,0.6808,1.6221,3.7354,3.3529,1.0,24.78,23,30,0
1.026,0.8391,0.5969,4.2632,2.346,2.6379,1.0,33.22,79,225,1
0.188,2.2278,0.0043,1.1886,0.7339,0.1634,1.0,13.19,25,52,0
0.218,2.2011,0.9167,3.7328,1.969,4.4014,1.0,23.76,59,154,1
1.2716,0.5654,3.2107,0.495,2.2053,2.8524,1.0,36.5,25,7,0
1.1936,2.9425,1.4657,1.5303,2.4961,0.6702,1.0,17.25,9,8,0
2.5452,1.3528,2.5471,1.3372,2.2262,1.6761,0.3129,24.69,5,61,0
0.5125,0.6151,1.1347,2.1302,0.3687,1.1538,1.0,21.28,8,13,0
1.8,0.9402,2.2296,3.3634,5.1813,5.4549,1.0,12.61,26,141,1
2.1425,3.3717,2.1097,3.1641,3.4082,2.427,1.0,29.87,29,7,0
0.6877,3.7014,2.8821,1.3119,2.3726,1.7349,1.0,8.12,33,60,0
3.3158,0.1206,0.8921,3.2012,3.7504,3.5706,0.0838,1.04,19,46,1
1.2428,2.0417,3.66,1.0559,1.0235,0.7157,1.0,5.21,31,18,0
2.0743,0.1353,0.6592,0.2237,0.8981,1.3019,1.0,2.24,15,28,0
2.2203,0.4721,1.7062,0.357,0.8123,0.6054,1.0,1.13,50,29,1
0.6273,1.0498,1.148,0.2926,0.6322,1.1396,0.2021,9.55,52,8,0
0.3103,4.845,3.831,1.6177,1.0402,1.5201,1.0,5.65,27,202,0
2.1154,2.6391,0.4953,0.5097,3.2248,2.3282,0.3509,44.73,56,17,0
0.7803,1.4958,2.8326,0.8172,2.1116,2.5279,1.0,26.68,30,29,0
2.1941,1.0088,1.7318,0.0464,3.7984,2.7903,0.02,12.72,10,75,0
2.5584,1.3401,0.0295,1.9732,1.9673,1.2919,1.0,25.17,15,2,0
1.1426,4.2207,2.3201,0.8376,2.7254,1.2416,0.5952,17.63,53,31,1
2.4634,3.4744,3.8677,1.9754,3.2966,3.7421,1.0,10.18,8,100,0
1.7314,3.7259,2.832,5.1317,4.4428,2.4519,1.0,45.99,25,28,1
1.9405,0.795,0.9323,0.0937,0.8341,1.7274,0.5041,21.36,33,1,0
1.3165,3.1578,0.6382,1.8447,3.9653,2.5672,0.042,49.8,22,40,0
2.3455,1.2858,2.0073,1.086,3.686,3.1942,0.9879,22.31,2,22,0
2.669,4.5996,4.7666,3.2907,2.5064,4.4677,0.7957,14.08,6,25,0
0.604,2.1416,2.2329,3.1384,1.8599,0.0667,1.0,33.52,37,34,1
0.5933,0.7925,2.7068,1.6154,3.4048,1.0795,0.8164,45.92,25,25,0
1.5665,0.7199,2.1118,0.8761,1.4454,1.5112,1.0,13.79,21,11,0
3.7593,2.6425,3.3896,1.0254,0.5454,1.0516,1.0,20.17,46,86,0
0.6855,2.1627,1.9145,0.3621,0.0672,2.2917,1.0,7.09,29,102,0
0.2564,3.9188,3.1938,1.5631,2.3154,1.0461,1.0,31.5,8,48,0
1.3099,0.8009,0.6944,1.0858,2.1784,1.7375,0.5015,8.8,21,56,0
0.6444,3.4693,2.154,0.1331,1.5313,2.2323,0.4831,16.14,31,63,0
2.1237,4.2974,0.7552,1.5295,0.9853,1.0443,1.0,40.14,67,117,0
1.2804,1.2771,0.5005,2.9253,0.1927,0.0439,1.0,16.87,20,32,0
1.531,3.4311,2.7013,2.9699,1.7751,0.258,1.0,2.64,54,25,1
0.3267,4.0812,1.6285,1.421,0.0944,2.9794,0.4662,0.73,30,178,1
1.2803,0.0763,1.4113,1.5263,0.6325,0.8366,0.5561,6.41,16,46,0
0.8593,2.9585,0.9339,1.875,1.9045,0.3276,1.0,34.73,14,68,0
0.4087,1.8814,0.6323,1.2146,0.1122,1.6036,0.0285,4.9,10,36,0
1.792,3.3656,0.3846,1.9669,3.0774,0.1543,0.6566,35.11,14,87,0
1.7107,0.8748,0.8131,0.6371,0.7622,0.0581,0.0955,6.14,5,47,0
1.5906,3.1278,4.4713,0.4914,0.7154,1.8788,1.0,7.5,48,23,0
1.9788,1.6436,0.4443,2.806,2.5809,0.9774,0.1984,2.64,42,46,1
0.1002,2.471,1.8714,3.6855,1.3625,3.4651,1.0,18.86,44,136,1
1.3986,0.0695,0.1069,0.9127,1.16,0.9979,0.7966,7.48,10,59,1
1.6248,2.9547,0.3537,3.4041,3.343,2.2865,1.0,78.09,11,182,0
1.2585,5.3545,2.1525,0.7178,4.1844,4.9916,0.5245,40.67,78,2,0
4.6093,2.6276,2.6895,3.3597,3.7391,2.904,0.5021,1.44,6,121,0
0.2803,3.1943,2.098,0.2379,1.7635,1.8594,0.0225,21.86,42,56,0
3.0818,2.4296,2.1967,1.0184,0.6922,0.9315,0.709,21.3,44,139,1
1.0227,1.179,0.2191,0.0165,0.0509,0.194,1.0,6.67,46,17,0
1.5874,1.1314,1.7214,2.1738,1.1399,0.3719,1.0,15.2,3,98,0
1.3462,1.4092,1.2673,2.8843,1.7626,1.1313,0.8452,2.95,8,107,1
3.8541,0.6371,0.3696,1.242,1.8685,2.0793,1.0,20.82,24,161,0
2.4371,1.3309,0.4413,4.2385,1.1418,0.3107,1.0,20.29,7,52,0
3.0713,0.1375,2.0106,2.043,0.1876,1.7279,1.0,20.1,12,22,0
2.0083,2.9371,0.1146,0.4153,2.9789,0.8804,1.0,47.34,40,134,0
1.5169,0.7236,0.4482,0.8603,0.0926,0.1004,0.7977,10.41,29,20,0
1.5218,1.548,0.9105,1.7542,1.3892,2.4261,1.0,5.24,23,41,1
3.4728,3.1581,4.153,0.934,0.0252,1.7018,1.0,59.52,78,244,0
0.0809,0.9535,3.6212,0.7863,0.1517,0.0457,1.0,26.45,21,12,0
3.1493,2.6324,2.092,3.78,2.2884,3.7793,1.0,41.91,26,12,1
0.9523,2.3042,3.2332,2.0148,0.2357,1.5344,1.0,24.49,5,83,0
2.9434,0.1552,0.7526,0.0725,1.0615,0.4779,0.013,16.7,8,104,1
1.1145,0.2283,0.5312,0.0321,0.951,1.2453,0.273,12.06,11,8,1
2.9692,0.3872,0.7758,4.5594,2.452,0.8677,1.0,15.22,40,99,1
0.259,3.2739,0.8356,0.0992,0.7992,1.5839,1.0,5.92,48,117,0
3.0124,1.3568,0.5675,2.7836,0.5041,0.5016,1.0,0.44,52,8,0
2.7718,3.9812,5.8194,2.1354,3.3678,2.8373,1.0,24.61,14,31,0
0.6911,5.4226,0.1115,0.6292,4.6134,2.4371,1.0,51.58,4,77,0
3.6117,0.8995,1.0097,1.2121,2.579,2.1403,1.0,8.53,16,42,0
1.4533,1.0714,0.9701,1.0575,1.691,2.3648,1.0,12.09,12,16,1
3.299,1.4809,2.3166,1.7659,1.0111,0.06,0.2482,27.33,27,102,0
1.1308,0.9443,2.4172,0.6461,3.9764,1.6207,0.0197,48.4,12,6,0
0.9773,2.7605,0.9932,2.4896,2.3705,0.2359,1.0,27.5,32,104,0
2.7675,2.3137,2.2985,2.6482,0.0395,0.5504,1.0,26.46,35,33,0
0.6933,2.8319,1.887,1.9387,4.1303,2.1804,1.0,5.75,54,24,1
1.2264,3.7729,5.2563,1.5435,1.2271,2.7441,0.4677,6.01,44,57,0
1.2228,0.2539,0.3159,0.1481,1.3441,0.8297,0.0696,4.27,19,5,0
1.9024,2.1711,2.5783,2.0078,1.4814,0.8124,1.0,4.9,15,32,0
1.4053,0.0189,1.3938,0.6927,0.4794,1.9586,0.3682,11.13,40,61,0
2.6329,0.996,3.3951,1.237,0.118,1.017,1.0,15.37,21,55,0
0.2276,0.3066,2.8485,0.3645,2.4632,1.6348,0.8707,40.15,32,59,0
1.3796,0.9503,1.5891,1.5043,0.3678,1.0467,0.267,4.23,15,79,0
1.5248,1.0742,3.6179,2.7017,2.6219,2.2358,0.8051,35.58,2,105,0
0.4958,0.6343,0.6622,0.7607,0.7621,0.6362,1.0,8.56,3,12,1
2.9892,1.8638,1.2531,2.2301,1.7393,2.6687,0.1742,4.37,2,44,0
1.3927,0.5764,0.3714,4.0193,1.1905,1.2605,0.7818,3.01,8,68,0
0.3014,3.7111,2.0135,2.426,0.5298,3.2853,1.0,18.75,66,109,1
1.4915,0.7218,1.2865,0.5717,0.1813,0.8946,0.7683,6.2,20,89,0
2.8112,0.8434,1.8174,3.2525,0.6523,1.7257,0.5614,7.89,49,78,0
2.5374,2.3707,1.8905,2.2053,1.1753,1.4867,1.0,10.17,5,8,0
0.9238,0.4168,0.1556,0.3477,0.342,1.073,1.0,4.91,29,7,0
0.8846,1.364,4.9323,2.0956,1.9396,1.975,0.9145,51.06,50,96,0
1.8604,0.0524,1.4355,2.4432,0.4125,0.1771,0.2069,6.66,34,73,0
0.8532,3.2069,1.0026,0.5183,1.9452,2.7825,1.0,26.69,32,67,0
1.2551,3.8451,2.5705,0.0733,1.6281,1.515,1.0,8.92,1,79,0
1.09,3.9372,0.9861,0.1645,3.8787,1.4579,1.0,45.81,40,100,0
1.2331,3.2878,0.9227,0.7188,2.0112,0.3176,0.3693,11.39,63,27,1
1.3016,1.6239,2.1394,1.0082,0.0125,0.8991,1.0,10.94,18,19,0
0.2038,1.7584,0.9751,1.3423,1.2168,0.8915,1.0,0.99,29,32,1
1.179,0.304,0.645,4.0834,0.2204,0.1102,1.0,4.77,3,93,1
0.3719,0.0551,0.2187,2.4581,2.3034,2.6027,1.0,4.86,3,10,1
1.1459,4.2392,1.0995,3.6847,2.7946,2.0788,1.0,20.27,26,53,0
0.8574,0.8583,1.5313,1.4242,1.6761,2.3962,0.4146,10.41,55,142,0
0.5019,3.9366,1.2406,0.629,1.0346,3.5642,1.0,14.79,17,61,0
1.5689,2.056,0.8935,0.6649,2.6318,0.308,1.0,17.65,4,1,0
3.5574,0.8822,1.5971,1.6393,0.3068,2.34,0.7998,10.03,16,68,0
3.4238,2.8499,2.1587,3.9615,2.1621,0.1685,0.2686,5.32,16,191,0
1.2051,1.4642,0.811,0.0177,0.656,1.3104,1.0,13.97,18,78,0
1.9232,0.2901,0.2931,2.3839,1.0917,1.4183,1.0,6.54,1,75,0
0.5099,3.1756,1.3139,0.6226,1.3231,2.8984,1.0,11.96,21,76,0
1.07,2.6019,1.6657,1.0381,2.4956,1.2997,1.0,2.64,33,14,1
1.9545,5.3109,0.1541,2.4413,3.0771,1.8655,0.2516,40.4,10,195,0
0.9904,5.8038,0.9035,1.092,4.3119,2.7278,0.1179,46.08,15,113,0
0.9504,4.2475,2.9097,1.1944,0.2835,2.6173,1.0,26.57,73,94,1
1.3983,1.2404,0.1603,0.2425,0.9688,2.2283,1.0,26.2,54,52,0
0.4744,3.9366,3.3543,0.6115,0.0524,1.4417,1.0,14.3,29,38,1
0.4746,0.1185,0.4487,3.3118,1.9033,2.8759,1.0,15.22,21,187,1
3.3368,1.1387,0.1156,1.2481,2.6668,3.3453,1.0,2.09,12,87,0
0.4697,3.4345,2.2442,0.4649,2.943,1.9785,1.0,15.4,29,18,1
0.7324,2.3132,0.7241,0.1283,1.5642,2.7772,1.0,30.83,35,22,0
1.2644,0.4233,0.7912,2.3955,2.0495,3.2304,0.3413,17.89,21,88,1
0.9128,1.6502,3.7597,0.2746,1.0757,1.7785,1.0,31.93,11,4,0
1.5278,1.9818,2.5457,0.4104,2.0243,3.3614,1.0,9.69,40,119,0
1.5292,2.867,3.5202,4.0599,2.7357,2.2856,0.8493,35.84,100,21,1
2.9465,0.491,2.3665,2.7325,0.3307,1.097,1.0,20.05,25,20,0
2.2821,0.6442,1.8597,2.3665,0.4748,1.1355,0.696,1.12,22,14,0
2.4043,2.3056,2.0903,1.5157,0.8387,0.5126,0.1256,0.74,7,8,1
3.4824,1.7221,2.6412,3.0967,1.4579,0.1164,1.0,27.39,11,96,0
0.9555,1.9912,1.8329,1.2611,1.8079,2.4907,1.0,16.47,78,16,1
1.4724,3.6653,2.6206,4.142,1.1725,0.955,0.9109,11.13,48,12,1
0.1134,0.5109,0.1425,1.9571,1.3353,1.6594,0.0702,8.31,3,100,1
6.6318,3.8206,1.3023,1.7994,0.8701,4.9567,1.0,0.27,31,37,1
1.0244,2.2062,1.3327,2.501,1.3589,2.2192,0.6095,19.3,22,140,0
1.6619,3.8108,1.8677,0.0743,3.996,0.1936,1.0,50.35,42,163,0
0.5724,1.3882,3.2322,0.953,3.0245,3.3226,1.0,48.36,13,92,0
2.8787,0.3113,0.5078,1.825,1.0917,0.3931,0.6669,0.69,17,56,1
1.7989,0.3522,0.1728,0.5218,0.1111,0.4306,0.1112,9.57,30,14,0
2.0443,2.6313,0.0552,1.8017,3.1635,0.4157,0.8478,32.1,14,69,0
1.4661,2.9462,5.5254,0.282,0.3527,2.3585,1.0,28.58,26,59,0
1.6657,3.4287,1.3266,1.7781,0.8803,1.4347,1.0,22.6,47,182,1
2.1868,1.0966,0.7618,2.8921,1.7517,1.4146,0.5158,16.57,1,34,0
1.5807,2.0876,3.9907,2.1636,1.8292,1.9627,0.8034,4.77,37,71,0
0.6636,3.1231,2.5931,0.2484,0.2293,1.9147,1.0,8.45,14,20,1
1.7871,1.9416,2.176,1.3687,0.7133,2.0006,0.9465,9.71,8,88,0
2.752,4.5149,1.0867,1.7203,2.4874,2.5158,1.0,27.7,27,62,0
2.3398,0.2783,0.5257,1.6257,1.0869,1.7373,1.0,4.76,15,231,0
2.0969,1.4637,0.55,3.4701,0.1486,2.0105,1.0,17.44,0,18,0
1.6037,2.0773,0.8441,2.5301,0.2905,0.9644,1.0,17.25,8,148,0
1.2068,0.5305,1.4327,1.4348,1.7103,2.3764,0.3545,14.0,4,24,0
1.2656,4.9621,2.6568,0.9664,0.5099,1.1027,1.0,13.57,45,109,0
0.1674,0.7377,4.0514,2.1929,1.9212,0.8129,1.0,41.26,9,132,0
1.0845,0.7624,0.9071,1.8132,2.0633,2.2778,1.0,11.48,16,22,1
3.324,2.0369,0.1478,1.3769,1.8381,0.1982,1.0,8.13,25,264,1
1.4341,0.9084,1.2785,2.8345,0.4265,0.0318,0.2131,15.81,0,136,0
0.0149,4.2978,2.5504,0.7763,2.3845,1.2574,1.0,1.07,48,22,1
0.92,3.4083,2.1532,0.9315,1.0387,1.3049,1.0,3.57,60,15,1
0.4724,1.0379,1.1243,0.9753,2.7248,2.9421,1.0,38.13,6,27,0
0.9174,0.1603,1.0237,0.3743,2.2038,1.3125,0.8839,23.82,73,131,0
0.6099,3.7915,3.2181,3.9418,2.1466,1.5222,1.0,7.4,31,27,1
3.7434,1.0526,1.0016,4.016,0.4221,2.0163,1.0,33.07,10,98,0
0.0293,5.2699,2.8333,1.1178,4.2107,2.0813,1.0,30.92,34,134,0
0.2114,3.6971,1.4767,0.8865,0.3159,1.7439,1.0,8.0,21,121,0
0.0318,4.2521,3.2667,0.8297,0.4682,1.2589,1.0,26.76,56,92,1
2.1135,1.1788,2.0438,2.1772,0.6192,1.1883,1.0,3.45,11,40,0
1.059,2.2452,0.1969,1.5592,2.9207,0.6011,0.1053,28.53,4,2,0
2.5527,0.8764,1.2322,2.3275,1.4741,0.4943,1.0,25.76,53,7,0
2.221,3.0193,3.0615,1.4319,0.2552,0.2458,0.2332,26.96,82,100,1
0.0347,0.0019,2.8945,1.1845,2.9268,2.7299,1.0,41.79,14,49,0
2.2347,0.9148,1.1286,1.8558,0.7168,0.2091,0.4166,16.8,50,121,1
2.0138,1.2988,1.1683,1.8373,3.2291,0.4538,1.0,33.9,45,24,0
2.2613,0.006,1.2652,1.722,2.4274,5.1383,1.0,3.02,22,32,1
2.1264,0.4208,0.1776,0.1696,0.4867,0.485,0.6374,3.13,22,80,0
1.2039,1.4702,1.2932,0.5463,0.1659,0.314,1.0,4.95,37,20,0
1.9052,1.1294,0.8685,0.6843,2.7621,2.9474,1.0,23.04,0,26,0
1.2039,1.7593,0.976,1.3865,0.2005,0.6307,1.0,5.58,2,30,1
0.3959,0.6709,0.0477,1.203,2.0218,2.2187,1.0,33.84,7,33,0
0.6956,2.0649,2.444,0.5434,3.9719,1.0799,1.0,47.17,24,3,0
1.2344,1.4409,1.9523,2.8878,1.6946,0.9384,0.3406,23.78,62,75,1
1.1326,0.9262,1.3201,0.5515,0.9118,0.1332,0.4071,16.25,44,86,0
2.4839,0.5487,1.6456,1.9388,0.6145,0.5483,0.5436,22.6,5,37,0
2.364,1.6642,2.2609,0.2657,2.5885,2.9502,0.7583,22.31,11,21,0
1.0652,2.6207,4.212,0.4501,0.9272,2.5165,0.0048,15.88,45,23,0
0.9416,3.5689,0.9584,0.2792,2.9008,1.7516,1.0,27.08,14,62,0
2.1047,1.1494,2.1663,0.7213,2.3875,6.2347,1.0,23.09,44,35,0
1.0116,2.4374,0.1283,0.6013,0.4402,2.5104,0.4874,8.52,1,41,0
1.0635,0.5782,0.7171,3.5412,1.7323,2.5089,0.9922,21.95,0,87,1
1.7243,4.2708,1.1817,2.2165,4.3226,1.2827,0.8558,58.73,22,140,0
3.6132,2.471,1.1466,2.8238,0.5282,0.9583,1.0,36.31,19,96,0
1.7639,2.7847,3.2607,1.8876,0.3079,0.6912,1.0,19.65,6,41,0
2.6677,2.5732,0.1489,1.136,0.6513,0.3167,1.0,21.89,46,67,1
1.2915,0.9994,0.2512,2.5716,2.8157,0.7084,0.4963,23.94,51,85,1
1.7551,1.3171,1.0935,0.149,1.2406,0.2618,1.0,20.03,19,32,0
0.434,1.2988,2.31,0.755,1.2914,1.4017,1.0,11.09,25,80,1
2.9742,2.6889,2.6367,1.9672,0.511,1.8902,0.8807,12.88,14,117,0
1.2849,0.1191,3.2933,2.962,2.2975,0.2282,1.0,18.89,12,94,0
1.572,0.6764,1.6249,1.3911,1.3834,1.5988,0.3443,16.67,3,73,0
0.8245,2.9692,1.1432,0.6059,2.7194,0.929,1.0,28.88,3,44,0
2.6044,0.0658,0.7106,1.6682,2.4,3.42,1.0,10.46,23,75,0
0.0806,5.7499,0.4107,2.0677,3.4604,4.1566,1.0,37.19,18,111,0
0.0091,0.5824,2.3637,1.0653,2.5056,1.2586,1.0,35.19,12,63,0
2.4979,4.1246,0.1299,0.4118,3.9217,1.9528,1.0,48.44,20,82,0
3.1572,0.0606,1.6637,1.8623,3.2913,1.9131,1.0,9.46,24,89,0
0.7371,0.4463,3.4139,2.9331,0.0993,0.3201,1.0,20.13,29,128,0
1.1104,1.9543,1.1859,1.7846,1.5099,0.656,1.0,2.44,1,31,0
1.9883,2.5413,1.7528,0.2234,1.8174,0.575,1.0,8.23,16,43,1
1.1535,1.868,1.7065,2.4886,4.8861,1.3635,0.7203,54.04,23,42,0
1.7356,0.1449,0.015,0.998,0.5462,0.425,1.0,4.57,15,1,0
2.9182,2.7515,3.3741,3.8352,1.1357,0.4562,1.0,35.99,49,11,0
0.8558,0.3215,0.17,0.2943,0.2989,0.1442,0.1981,8.75,34,35,1
1.6164,4.3822,2.039,2.8829,2.0254,0.5366,0.2303,8.5,37,142,0
0.7212,1.9756,2.2824,3.1433,1.6667,1.9401,1.0,19.38,52,29,1
2.863,3.9685,2.5662,3.8355,3.2398,0.0985,1.0,40.94,54,143,0
0.3527,0.7064,0.4485,0.4115,1.2223,0.6504,1.0,15.24,29,3,1
2.0588,1.3737,0.3538,4.0677,1.5838,0.957,0.3078,3.8,14,121,1
0.3887,0.3419,0.3552,1.028,1.0977,1.8097,1.0,0.46,1,23,1
1.2057,0.703,3.6234,0.0608,0.7392,1.673,1.0,9.99,90,28,0
1.7579,0.5888,1.5273,0.0695,1.136,0.9346,1.0,6.18,35,47,0
1.0121,5.791,0.0014,2.2826,3.3237,2.0534,1.0,50.5,1,184,0
2.0906,2.5245,1.3329,4.3231,0.9252,2.6549,1.0,4.44,44,14,1
1.8862,1.5249,0.3382,0.2747,0.1256,0.016,0.6098,2.28,47,11,1
2.0563,4.7177,0.0474,0.4363,4.8632,1.1903,1.0,56.51,9,129,0
0.5487,2.4107,2.7401,1.9262,0.3658,0.7467,1.0,15.03,41,186,0
0.2514,3.2509,2.8242,0.4299,0.4345,1.1087,1.0,23.02,46,19,1
0.9781,0.2211,2.6633,1.2508,3.3266,1.438,1.0,38.46,5,96,0
1.5019,3.6176,0.8105,3.0073,2.6588,0.5935,1.0,30.44,12,86,0
1.1103,1.0627,0.9534,0.8504,0.3501,2.032,1.0,23.3,18,5,1
0.004,0.7109,0.0499,1.9446,0.6474,0.3967,1.0,23.1,41,32,1
0.3497,1.0616,0.5476,3.7295,1.4259,1.4584,0.9694,12.03,21,162,0
3.721,3.8483,1.2625,5.4132,3.7322,0.5362,1.0,18.82,30,167,1
2.395,0.2838,0.0397,2.2775,0.2976,0.1434,1.0,11.33,5,16,1
0.181,0.3669,3.0867,0.2974,2.016,1.0307,1.0,36.67,3,33,0
0.9034,2.5277,2.9692,0.7797,1.2365,0.4426,1.0,0.39,24,33,0
1.5482,1.6045,2.2431,1.1349,1.5404,1.506,1.0,2.21,24,51,1
0.7628,2.144,1.6316,0.8022,1.1803,1.038,1.0,9.84,24,17,0
2.9681,2.2002,1.0642,2.2864,1.3882,0.4788,0.7121,13.02,57,68,1
1.5077,2.1435,1.0783,0.0603,0.8078,2.5444,1.0,14.14,32,41,1
2.1674,1.477,1.3525,0.9807,2.9571,3.1526,1.0,14.87,29,42,1
0.1401,4.0981,3.0461,0.251,2.5096,2.3347,1.0,12.71,22,77,0
0.7349,0.1293,3.2315,1.1385,3.0967,2.5187,0.4911,53.74,25,91,0
3.6267,0.1494,2.2218,3.1569,0.1067,0.3168,0.3214,39.54,2,47,0
1.7724,1.418,1.0954,0.8412,0.9237,1.7247,1.0,16.77,47,26,0
1.8054,2.2155,0.1035,2.1541,0.8588,0.5739,0.7551,11.7,0,70,0
1.2708,0.001,1.1378,2.5449,0.8754,0.9216,1.0,8.54,0,59,0
0.0701,4.6711,2.5482,2.0846,1.4652,1.685,0.6895,5.99,10,130,0
2.9828,0.3043,1.5364,2.6633,0.4006,1.3225,1.0,33.38,16,144,0
0.6216,0.8235,1.7255,1.5639,1.418,2.3003,1.0,38.05,14,171,0
2.9937,1.1884,0.9187,2.6073,3.3163,0.7479,0.0599,1.77,21,36,0
0.6416,1.3163,0.0489,1.256,0.9164,0.3688,1.0,6.64,44,75,0
0.5371,1.0132,1.0474,0.6075,1.5043,1.6883,0.9727,3.99,0,79,1
1.2325,1.875,0.8849,0.8669,1.4224,0.9623,1.0,4.58,4,39,0
1.6755,2.1382,0.22,1.2283,1.3139,3.9164,1.0,5.45,5,130,1
0.6744,5.6427,1.3634,1.4133,3.4434,3.4651,1.0,24.75,5,121,0
0.0833,1.3922,1.1531,0.7564,1.6329,1.7079,1.0,17.02,4,2,0
1.6516,2.3895,3.1773,2.4094,1.4661,3.2616,1.0,6.44,21,41,0
1.3539,2.4964,2.3041,1.8557,1.738,2.7884,1.0,12.93,30,71,1
2.1559,1.2884,3.6628,1.9407,0.1665,5.0764,1.0,15.82,98,98,0
3.3267,4.9443,2.7544,1.8034,3.2312,0.2186,1.0,9.22,68,2,1
4.5941,2.3714,0.3463,3.7331,1.1832,2.7958,0.4531,29.11,17,64,0
1.4628,0.6434,0.8413,4.0677,2.8398,0.3343,0.0647,29.85,68,123,1
0.9615,3.1869,2.1051,2.5145,1.1164,1.1246,0.9419,7.02,35,2,1
2.8039,1.2892,0.5887,0.3688,3.3592,1.1913,1.0,31.77,9,9,0
3.9683,3.8341,2.4081,0.5155,2.2972,0.705,1.0,2.62,45,58,1
2.0373,2.3717,2.4467,2.0176,2.8106,1.9157,1.0,40.99,25,0,0
3.3452,3.2415,5.0411,5.5962,0.9799,0.6251,0.6412,28.46,40,123,0
2.2392,2.6533,0.7026,0.9818,0.3053,1.2262,1.0,15.57,22,89,1
2.0713,4.9124,2.8125,0.5147,5.0463,2.9182,1.0,41.21,28,71,1
0.2461,0.7818,0.133,1.6615,0.0203,2.3051,0.8789,3.51,45,3,0
1.7871,0.0953,2.6021,0.1152,3.2493,1.4163,0.9735,30.8,24,8,0
0.2921,1.1612,1.0562,1.0359,1.6175,3.1744,0.9057,1.08,16,133,1
0.6627,0.5156,0.0382,1.1938,1.8031,1.7843,1.0,14.3,24,103,1
